,sellprice,symbol,selltime,qty,sl,strike,tp,buyprice,buytime,reason,pnl
87,261.3,BANKNIFTY07JAN2131100PE,2021-01-05 10:09:00,25,256.074,31100,269.139,253.461,2021-01-05 10:10:00,TP HIT,195.97499999999997
88,272.5,BANKNIFTY07JAN2131100CE,2021-01-05 10:11:00,25,277.95,31100,264.325,277.95,2021-01-05 10:13:00,SL HIT,-136.24999999999972
89,274.95,BANKNIFTY07JAN2131100PE,2021-01-05 10:11:00,25,269.45099999999996,31100,283.19849999999997,269.45099999999996,2021-01-05 10:13:00,SL HIT,-137.4750000000006
90,264.4,BANKNIFTY07JAN2131100PE,2021-01-05 10:14:00,25,259.11199999999997,31100,272.332,268.85,2021-01-05 10:15:00,Time Up,-111.25000000000114
91,285.9,BANKNIFTY07JAN2131100CE,2021-01-05 10:14:00,25,291.618,31100,277.323,280.35,2021-01-05 10:15:00,Time Up,138.74999999999886
92,263.95,BANKNIFTY07JAN2131800PE,2021-01-06 09:15:00,25,258.671,31800,271.8685,258.671,2021-01-06 09:16:00,SL HIT,-131.9749999999999
93,231.7,BANKNIFTY07JAN2131800CE,2021-01-06 09:17:00,25,236.33399999999997,31800,224.749,236.33399999999997,2021-01-06 09:20:00,SL HIT,-115.84999999999965
94,232.15,BANKNIFTY07JAN2131800PE,2021-01-06 09:17:00,25,227.507,31800,239.1145,227.507,2021-01-06 09:20:00,SL HIT,-116.07500000000002
95,213.3,BANKNIFTY07JAN2131900CE,2021-01-06 09:21:00,25,217.566,31900,206.901,206.901,2021-01-06 09:22:00,TP HIT,159.97500000000002
96,231.75,BANKNIFTY07JAN2131900PE,2021-01-06 09:21:00,25,227.115,31900,238.7025,224.7975,2021-01-06 09:22:00,TP HIT,173.81249999999966
97,244.15,BANKNIFTY07JAN2131900PE,2021-01-06 09:23:00,25,239.267,31900,251.4745,239.267,2021-01-06 09:24:00,SL HIT,-122.07500000000024
98,202.45,BANKNIFTY07JAN2131900CE,2021-01-06 09:25:00,25,206.499,31900,196.3765,206.499,2021-01-06 09:26:00,SL HIT,-101.22500000000016
99,240.6,BANKNIFTY07JAN2131900PE,2021-01-06 09:25:00,25,235.78799999999998,31900,247.81799999999998,235.78799999999998,2021-01-06 09:26:00,SL HIT,-120.3000000000003
100,196.0,BANKNIFTY07JAN2131900CE,2021-01-06 09:27:00,25,199.92,31900,190.12,199.92,2021-01-06 09:28:00,SL HIT,-97.99999999999969
101,242.9,BANKNIFTY07JAN2131900PE,2021-01-06 09:27:00,25,238.042,31900,250.187,238.042,2021-01-06 09:28:00,SL HIT,-121.4500000000001
102,201.45,BANKNIFTY07JAN2131900CE,2021-01-06 09:29:00,25,205.47899999999998,31900,195.4065,205.47899999999998,2021-01-06 09:30:00,SL HIT,-100.72499999999991
103,240.9,BANKNIFTY07JAN2131900PE,2021-01-06 09:29:00,25,236.082,31900,248.127,236.082,2021-01-06 09:30:00,SL HIT,-120.4500000000003
104,239.6,BANKNIFTY07JAN2131800CE,2021-01-06 09:31:00,25,244.392,31800,232.412,244.392,2021-01-06 09:32:00,SL HIT,-119.80000000000004
105,215.2,BANKNIFTY07JAN2131800PE,2021-01-06 09:31:00,25,210.896,31800,221.65599999999998,210.896,2021-01-06 09:32:00,SL HIT,-107.60000000000005
106,203.3,BANKNIFTY07JAN2131900CE,2021-01-06 09:33:00,25,207.366,31900,197.20100000000002,207.366,2021-01-06 09:34:00,SL HIT,-101.65000000000006
107,230.15,BANKNIFTY07JAN2131900PE,2021-01-06 09:33:00,25,225.547,31900,237.05450000000002,225.547,2021-01-06 09:34:00,SL HIT,-115.07500000000022
108,202.4,BANKNIFTY07JAN2131800PE,2021-01-06 09:35:00,25,198.352,31800,208.472,196.328,2021-01-06 09:36:00,TP HIT,151.80000000000007
109,248.6,BANKNIFTY07JAN2131800CE,2021-01-06 09:37:00,25,253.572,31800,241.142,241.142,2021-01-06 09:38:00,TP HIT,186.44999999999996
